latitude,longitude
22.9426394,120.2578001
22.9867473,120.2765047
22.9905086,120.2202587
23.0203202,120.4742952
23.193171,120.483189
23.1079133,120.5624474
23.1287245,120.4674238
23.106412,120.447752
23.1035437,120.4444046
23.1795018,120.4904831
23.1513862,120.4866913
23.1325676,120.4771335
23.0691567,120.5143566
23.102425,120.46205
23.0462414,120.4571841
23.1733177,120.4868323
23.0777894,120.4295647
23.123815,120.4659275
23.069038,120.5532185
23.0013568,120.2651157
23.0186754,120.2491103
23.012954,120.270022
23.0048739,120.2606703
23.048509,120.261284
23.0250298,120.2304187
23.0156728,120.248615
23.0346505,120.2594398
23.0204121,120.2611661
23.0175018,120.2364654
23.0130773,120.2323575
23.0036428,120.2307967
23.0363699,120.2404728
23.0252956,120.226376
23.0420452,120.2517138
23.4790616,120.4274501
23.0150261,120.2393293
23.0314572,120.2506817
38.97607,114.37559
23.0189932,120.262842
23.0226951,120.2160915
23.0300717,120.2252808
23.0058398,120.2726717
23.0040948,120.2707308
23.00783,120.261921
23.0367475,120.2540525
23.0168792,120.2406889
23.0160237,120.2462182
23.0117381,120.2616108
23.0093811,120.2668927
23.0157633,120.2293973
23.0157633,120.2293973
23.0206973,120.2190332
23.0243325,120.2525708
38.97607,114.37559
23.018563,120.251868
23.0337658,120.245643
23.0130187,120.2323972
23.0053952,120.2339675
23.0366602,120.2592517
23.027428,120.27438
23.0217996,120.2751787
23.0338001,120.2639115
23.0360146,120.2464774
23.0463382,120.2411645
23.0443212,120.2338686
23.0197313,120.2459787
23.0308568,120.2515281
23.0287106,120.2604626
23.0283651,120.2510725
23.021421,120.237009
23.0001309,120.2377952
23.0065252,120.2330475
23.0400661,120.2282476
23.0232813,120.2562214
23.0105236,120.2333418
23.0040149,120.231005
23.0340523,120.2642998
23.032797,120.228612
23.032797,120.228612
23.0060751,120.2582691
22.3869994,120.5943389
23.0187454,120.2296358
23.008473,120.2311493
23.0175061,120.219608
23.0126201,120.2563754
23.0055282,120.2654243
23.0015137,120.2646041
23.0353748,120.2515707
23.0329394,120.2580375
23.0419906,120.2624243
23.0400901,120.2438346
23.0300717,120.2252808
23.0303397,120.2691878
23.0351101,120.26988
23.0032066,120.2715116
23.0027543,120.2694508
23.0095882,120.2610241
23.019906,120.2431481
22.999468,120.239473
23.0199147,120.2239263
22.9954039,120.2586715
23.0076433,120.2693203
23.0323213,120.2626304
23.0200263,120.2137795
23.0490953,120.2414048
23.021421,120.237009
23.0001742,120.2266357
23.0016143,120.2566046
23.0207972,120.274988
23.0193006,120.215981
23.0002512,120.2660238
23.0146285,120.2299508
23.0186754,120.2491103
23.0213669,120.2216122
22.9986722,120.2454453
23.0292709,120.2244487
23.0157431,120.2654639
23.0191924,120.2381879
23.0144133,120.2636459
22.9932881,120.2341807
22.9833954,120.2450556
22.9802747,120.2237018
22.9913966,120.2342904
24.1272196,120.6972418
22.9723986,120.2298076
22.9711055,120.2274907
22.9721076,120.22749
22.9778225,120.2208095
22.98133,120.2224227
22.9824893,120.2423102
